ID,名称,别名,性味,归经,功效,主治,entity,摘自
74800,小飞蓬,破布艾、 鱼胆草、 竹叶艾、 臭艾、 小山艾,凉、苦、辛, ,清热、消肿、利湿、散瘀,"['肠炎，痢疾，传染性肝炎，胆囊炎', '牛皮癣，跌打损伤，疮疖肿毒，风湿骨痛，外伤出血', '鲜叶捣汁治中耳炎，眼结膜炎']",痢不止 跌打损伤 疖 肿毒 寒湿 骨疼 出血,全国中草药汇编
74900,小发散,簇花清风藤,温、涩、甘, ,祛风、除湿、消肿、散瘀,['跌打损伤，风湿痹痛'],跌打损伤 寒湿,全国中草药汇编
75000,线叶金鸡菊,大金鸡菊、 剑叶波斯菊,平、辛, ,清热、消肿、化瘀、解毒、热解毒,['刀伤，无名肿毒'],无名肿毒,全国中草药汇编
75100,响铃豆,黄花地丁、 小响铃、 马口铃,凉、苦、辛, ,清热、止咳、平喘、解毒、截疟、热解毒,"['尿道炎，膀胱炎，肝炎，胃肠炎，痢疾，支气管炎，肺炎，哮喘，疟疾', '痈肿疮毒，乳腺炎']",痢不止 哮喘 疟 痈,全国中草药汇编
75200,香蕉,弓蕉、 香牙蕉、 甘蕉,寒、涩、甘, ,清热、消肿、安胎、解毒、利尿、热解毒,"['全草：流行性乙型脑炎，白带，胎动不安', '痈疖肿毒，丹毒，中耳炎']",带下 动胎 痈 疖 肿毒 丹毒,全国中草药汇编
75300,虾,missing,温、甘, ,下乳、壮阳、补精、下乳汁、壮阳道,['内服有托里解毒之功'],,全国中草药汇编
75400,雪山芪,missing,温、甘, ,益气、壮阳、补中、益肾,['治体虚，贫血，产后虚弱，子宫脱垂，脱肛，自汗'],肌体羸瘦 产后 元气虚惫 子宫不收 肛出 自汗,全国中草药汇编
75500,宿苞豆,野豌豆、 中国宿苞豆,凉、苦, ,清热、解毒,['感冒咳嗽，咽炎，乳腺炎，肺结核，慢性支气管炎'],感冒 咳嗽,全国中草药汇编
75600,犀角,犀牛角,寒、苦、咸、酸, ,清热、凉血、解毒、定惊,['热病神昏谵语，斑疹，吐血，衄血'],热病 神昏 言语謇涩 斑 丹疹 吐血不止 衄血,全国中草药汇编
75700,熊骨,missing,温、咸、辛, ,除风、除风湿,['风湿骨痛'],寒湿 骨疼,全国中草药汇编
75800,缬草,拔地麻、 小救驾陕西、 鹿子草、 臭草,温、甘、辛, ,止痛、理气、安神,['神经衰弱，失眠，癔病，癫痫，胃腹胀痛，腰腿痛，跌打损伤'],精神不守 不睡 癫痫 腹内痛 腿疼 跌打损伤,全国中草药汇编
75900,一品红,叶象花,寒、苦、涩、毒, ,调经、消肿、止咳、止血、接骨,['月经过多，风寒咳嗽，跌打损伤，外伤出血，骨折'],月经过多 寒邪 咳嗽 跌打损伤 出血,全国中草药汇编
76000,云雀,阿鹨, , ,缩尿、解毒,['胎毒，赤痢，遗尿等'],赤痢 淋沥不断,全国中草药汇编
76100,云木香,广木香、 木香,温、苦、辛, ,和胃、止痛、温中、行气,['胸腹胀痛，呕吐，泄泻，痢疾里急后重'],心腹胀 干呕 痢不止 痢不止 里急后重,全国中草药汇编
76200,叶下珠,珍珠草、 叶下珍珠、 叶后珠、 十字珍珠草、 夜合草、 夜合珍珠,凉、苦、甘, ,清热、消积、明目、利尿,"['肾炎水肿，泌尿系感染、结石，肠炎，痢疾，小二疳积，眼角膜炎，黄疸型肝炎', '青竹蛇咬伤']",水肿 痢不止 疳 黄疸,全国中草药汇编
76300,羊蹄甲,老白花云南、 洋紫荆广东、 猪迹羊蹄甲,凉、平、苦、涩、淡, ,健脾、止血,['咯血，消化不良'],咯血 消化不良,全国中草药汇编
76400,亚黑管菌,missing, , , ,[''],,全国中草药汇编
76500,芸苔子,油菜子,温、甘、辛, ,散结、消肿、行气、祛瘀,"['痛经，产后淤血腹痛，恶露不净', '痈疖 肿痛']",经前腹痛 产后 瘀血 肚腹痛 恶露未尽 痈 疖 肿痛,全国中草药汇编
76600,杨翠木,白菁檀梨、 假海桐、 羊耳朵树, , ,祛风、清热、解表、解毒、热解毒,['治感冒，流感发热，百日咳，疟疾'],感冒 遍身壮热 疟,全国中草药汇编
76700,雨蛙,无斑雨蛙、 梆梆狗, , ,解毒、杀虫,['湿疹'],急性湿疹,全国中草药汇编
76800,鱼脑石,鱼首石、 鱼枕骨,寒、咸、甘, ,排石、利尿,['尿路结石，小便不利，解野蕈毒'],大小便不通,全国中草药汇编
76900,岩豆,missing,温、苦、辛, ,祛风、止痛、行血、祛风湿,['风湿性关节炎，慢性阑尾炎，白带'],寒湿 带下,全国中草药汇编
