,功效词根,亲友团
259,泻肺,消肿、利水、清热、祛痰、降气、行水、解毒
260,和解,退热、解郁、升提、中气、理气、少阳、燥湿
261,豁痰,解毒、清热、止痛、开窍、行气、镇惊、定喘
262,拔脓,清热、散瘀、解毒、止痛、活血、镇咳、利湿
263,缓急,解毒、止咳、益气、润肺、润肤、散寒、生肌
264,解渴,利尿、生津、除烦、化痰、解毒、消肿、止血
265,益精血,补肾阳、补肝肾、解毒、消肿、止血、健脾、消食
266,醒酒,消食、生津、解毒、清热、开胃、宽胸、利尿
267,益肝,明目、滋补、强壮、解毒、清热、祛风、除湿
268,滋养,肝肾、止痛、消肿、解毒、祛风、活血、止咳
269,调气,祛风、和血、解毒、清热、止咳、除湿、止痒
270,固肾,明目、止渴、补脾、涩精、解毒、止痛、祛风
271,泄热,凉血、利尿、通淋、解毒、利水、安神、通腑
272,温脾,理气、开胃、安胎、止血、化湿、温经、止痛
273,生新,活血、安神、调经、益肾、解毒、止痛、消肿
274,散肿,清热、止痛、止血、凉血、消瘀、解毒、利尿
275,补肾阳,强筋骨、壮腰膝、益精气、消肿、祛风湿、行血、调冲任
276,利气,解毒、清热、祛风、止咳、除湿、化痰、消肿
277,消滞,清热、消肿、利湿、化湿、凉血、杀虫、行气
278,清肺热,止血、通淋、利小便、凉血、祛风湿、解疮毒、散瘀血
279,除痹,利湿、解毒、清热、消肿、止血、利尿、杀虫
280,生发,解毒、消肿、清热、活血、凉血、杀虫、明目
281,益血,止痛、止血、利湿、补脾、化痰、行气、明目
282,止遗,益肾、涩精、活血、温肾、固精、清热、健脾
283,退虚热,清疳热、解毒、燥湿、止咳、利湿、化痰、生津
284,纳气,补肾、安神、益肾、镇惊、潜阳、补益、肝肾
285,蚀疮,截疟、去腐、生肌、祛痰、攻毒、解毒、止痛
286,开郁,止痛、祛风、活血、止痒、辟秽、宽胞、利痰
287,辛凉解表,解毒、利湿、消肿、止咳、利尿、清肺、续筋
288,散毒,止痛、消肿、生肌、活血、除湿、凉血、化痰
289,补心,滋阴、益肾、养血、益精、潜阳、益肺、固气
290,散积,解毒、化痰、行瘀、利尿、化瘀、接骨、消疳
291,止嗽,散寒、解毒、清热、散瘀、解表、益气、平喘
292,壮筋,止痛、活血、止血、散瘀、健脾、祛风湿、温中
293,杀菌,解毒、清热、止痛、止咳、生肌、消肿、杀虫
294,补虚损,健脾胃、祛风、杀虫、通络、消积、润肺、生津
295,消痞,止咳、清热、祛风、利湿、杀虫、化痰、散结
296,泻水,解毒、杀虫、破积、清热、消肿、止咳、散结
297,通阳,散寒、散结、解表、温经、消肿、散瘀、杀虫
298,回阳,救逆、温中、助阳、通脉、补火、止痛、除湿
299,退肿,生肌、软坚、补气、固表、解毒、凉血、杀虫
300,除风,除湿、和血、止痛、消肿、祛风、利湿、散瘀
301,补益气血,止咳、健脾、消食、益气、润肺、益肾、导滞
302,补五脏,益气血、解毒、祛风、健胃、止渴、强筋骨、续筋
303,清胃,止痒、解毒、消肿、止血、化痰、明目、燥湿
304,解酒毒,除烦、清热、解毒、止咳、利尿、生津、止呕
305,化饮,止痛、散寒、祛风、活血、止血、健脾、理气
306,鲜毒,燥湿、消食、祛风、止血、利湿、凉血、利水
307,小便,清热、解毒、散结、凉血、活络、通经、滋阴
308,散淤,活血、解毒、清热、消肿、舒筋、祛风、止血
309,止泄,清热、止痛、明目、消食、补肾、生津、止痢
310,泻肝,燥湿、泻火、定惊、清湿热、解毒、凉血、散结
311,疗痔,解毒、消肿、活血、止血、止咳、健脾、舒筋
312,温补肾阳,消肿、散寒、润肠、止痛、活血、止痒、通络
313,温阳,补肾、益气、祛风、活血、健脾、散寒、明目
314,化浊,除湿、和胃、解毒、消肿、活血、利水、散寒
315,益损,滋阴、清热、利湿、强筋、壮骨、活血、止血
316,壮筋骨,止痛、消肿、除湿、益气力、解毒、清热、止咳
317,除蒸,解毒、凉血、消肿、祛风、除湿、散结、滋阴
318,敛伤,清热、利尿、生肌、解毒、消肿、祛风、除湿
319,升提,退热、和解、中气、解郁、益气、祛风、理气
320,消食积,解毒、活血、止血、杀虫、调经、发表、通乳
321,抗肿,祛风、顺气、解毒、清热、止咳、除湿、利湿
322,除痰,祛风、止血、止咳、利湿、散结、消食、益气
323,行滞,消肿、止血、散寒、清热、止痛、祛风、活血
324,止惊,熄风、解毒、清热、止痛、消肿、活血、除湿
325,抗瘤,祛风、顺气、解毒、清热、止咳、除湿、利湿
326,举陷,解毒、清热、益气、活血、调经、疏风、透疹
327,利喉,止血、清肺、解毒、清咽、止痛、散瘀、理气
328,降逆气,止痛、祛风、活血、除湿、消积、安神、清湿热
329,利咽喉,解毒、清热、止痛、消肿、清肺、生津、止渴
330,防腐,解毒、止痒、疏风、解热、抑菌、清热、止痛
331,抗痨,消肿、消食、消炎、健胃、止血、健脾、润肺
332,搜风,消肿、散寒、通经、胜湿、开痰、解毒、除湿
333,强骨,祛风、止血、除湿、止痛、活血、止咳、安神
334,除湿热,利尿、补肾、散风、发汗、解郁、利小便、退目翳
335,利窍,消肿、通络、降火、解毒、活血、散寒、明目
336,厚肠,清热、止痛、活血、利湿、止泻、开胃、润燥
337,滋补肝肾,平喘、清肺、平肝、潜阳
338,散瘀血,解毒、清热、除湿、敛疮、续筋、利小便、续骨
