,药物名称,相似药物
345,山油麻,丁癸草根、柠鸡儿果、淮草、爪瓣虎耳草、疏花婆婆纳、密蒙花、苎麻根、鹧鸪血、细刺木半夏、苧麻根、止血马唐、小黑升麻、毛地锦、青鳞鱼、棉花、油渣果、霞红报春、雉尾、玉米螟、蕹菜、鮧鱼目、蝌蚪、华东膜蕨、井口边草、苎麻皮、滇大萼虎耳草、葛叶、蚕豆叶、远志黄堇、紫油木、鸡冠花、苦瓠叶、马甲子叶、白腹锦鸡、牛舌头、龙珠根、小花盾叶薯蓣、木姜子根、红田乌草、明矾、石耳、蝮蛇骨、倒卵叶伏石蕨、萱草根、香鼬、金花菜、滇古菜、荠菜花、高枝小米草、棉毛紫菀、狭叶山黄麻、蝮蛇脂、团花龙船花、栗柄凤尾蕨、鳝鱼骨、白金古榄、绣线菊、砾玄参、蒙古芯芭、土三七、翼柄山莴苣根、湿地匐灯藓、消毒药、小叶金花草、枣叶、残槁蔃、大花列当、匍匐南芥、钝叶酸模、扇叶虎耳草、红花隔距兰、石龙刍根、地蜂子、刺桐花、牛白藤
346,软皮树,
347,砾玄参,
348,乳花,
349,风车藤,
350,柿蒂 ,
351,绒仙人球,
352,荔枝根,
353,狨,
354,凤凰木,
355,蚺蛇胆,
356,凤尾参,
357,鹭肉,
358,石萝摩,
359,山楂,
360,凤仙花,矮冷水花、千解草、鞭打绣球、象耳朵、细柄书带蕨、壮阳草、黔桂醉魂藤、瑞香、雕骨、白鬼笔、盘肠草、杜鹃花果实、莲叶点地梅、五脉叶香豌豆、黄叶耳草、爬藤榕、龙爪树、洋虫、木本胡枝子皮、铁骨银参、黄鳝藤、白毛草、鸟不宿、长柄唐松草
361,山羊油,
362,山羊血,
363,双花兜兰,
364,山羊肉,
365,马蔺子,
366,佩兰,
367,凫肉,
368,蓬莪术,
369,枇杷根,
370,三叶海棠,
371,五眼果树皮,
372,豆腐,
373,五爪金龙花,
374,山苏木,
375,细叶马料梢,
376,豆黄,
377,三角叶风毛菊,
378,豆油,
379,杜父鱼,
380,吐铁,
381,小粉,
382,杜鹃花果实,
383,山瑞鳖,
384,小叶金老梅,
385,杏树根,
386,三对叶丹参,
387,灯蛾,
388,树状软骨藻,
389,三白草根,
390,珊瑚姜,
391,水麻芀,
392,小麦苗,
393,土百部,
394,铁马豆,
395,棠梨枝叶,
396,少果吴茱萸,
397,湿地匐灯藓,
398,山稔子,
399,敦盛草,
400,山桂花,
401,断节参,
402,千年耗子屎种子,
403,舌瓣鼠尾草,
404,山马蝗,
405,山峰西番莲,
406,倒卵叶五加,
407,蚯蚓,
408,都拉,
409,人参,
410,水益母,
411,人血七,
412,毒芹根,
413,省雀花,
414,独行千里,
415,山地麻蜥,
416,盾叶莓,
417,山马豆根,
418,十八症,
419,枇杷,
420,米皮糠,
421,红血藤,
422,大叶菜,
423,橘白,
424,过腰蛇,
425,感应草,
426,桂林槭,
427,黑种草,
428,高枝小米草,
429,金背枇杷,
430,苦瓜子,
431,广东大青,
432,广叶星蕨,
433,橘饼,
434,光滑黄皮,
435,广西艾麻,
436,苦白蹄,
437,滑石,
438,空青,
439,蚶,
440,甘肃天门冬,
441,骨碎补毛,
442,梗花华西龙头草,
443,桂竹香,
444,黄背草,
445,狗爪豆,
446,款冬花,
447,广花耳草,
